player_id,full_name,first_name,last_name
1641745,Adam Flagler,Adam,Flagler
1642280,Trentyn Flowers,Trentyn,Flowers
1631323,Simone Fontecchio,Simone,Fontecchio
1628368,De'Aaron Fox,De'Aaron,Fox
1642402,Enrique Freeman,Enrique,Freeman
1642277,Johnny Furphy,Johnny,Furphy
1629655,Daniel Gafford,Daniel,Gafford
1629636,Darius Garland,Darius,Garland
1630568,Luka Garza,Luka,Garza
1641718,Keyonte George,Keyonte,George
1642273,Kyshawn George,Kyshawn,George
202331,Paul George,Paul,George
201959,Taj Gibson,Taj,Gibson
1630581,Josh Giddey,Josh,Giddey
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander
1630264,Anthony Gill,Anthony,Gill
1631221,Collin Gillespie,Collin,Gillespie
203497,Rudy Gobert,Rudy,Gobert
203932,Aaron Gordon,Aaron,Gordon
201569,Eric Gordon,Eric,Gordon
1641789,Jazian Gortman,Jazian,Gortman
203924,Jerami Grant,Jerami,Grant
1631260,AJ Green,AJ,Green
203110,Draymond Green,Draymond,Green
1630224,Jalen Green,Jalen,Green
1629750,Javonte Green,Javonte,Green
201145,Jeff Green,Jeff,Green
1630182,Josh Green,Josh,Green
1629656,Quentin Grimes,Quentin,Grimes
1631243,Mouhamed Gueye,Mouhamed,Gueye
1629060,Rui Hachimura,Rui,Hachimura
1630169,Tyrese Haliburton,Tyrese,Haliburton
1641790,PJ Hall,PJ,Hall
203501,Tim Hardaway Jr.,Tim,Hardaway Jr.
201935,James Harden,James,Harden
1630702,Jaden Hardy,Jaden,Hardy
1641989,Elijah Harkless,Elijah,Harkless
203914,Gary Harris,Gary,Harris
202699,Tobias Harris,Tobias,Harris
1628404,Josh Hart,Josh,Hart
1628392,Isaiah Hartenstein,Isaiah,Hartenstein
1630573,Sam Hauser,Sam,Hauser
1641722,Jordan Hawkins,Jordan,Hawkins
1629637,Jaxson Hayes,Jaxson,Hayes
1630703,Scoot Henderson,Scoot,Henderson
1641707,Taylor Hendricks,Taylor,Hendricks
1629639,Tyler Herro,Tyler,Herro
1627741,Buddy Hield,Buddy,Hield
1629312,Haywood Highsmith,Haywood,Highsmith
1628988,Aaron Holiday,Aaron,Holiday
201950,Jrue Holiday,Jrue,Holiday
1641842,Ronald Holland II,Ronald,Holland II
1626158,Richaun Holmes,Richaun,Holmes
1631096,Chet Holmgren,Chet,Holmgren
1641720,Jalen Hood-Schifino,Jalen,Hood-Schifino
201143,Al Horford,Al,Horford
1629659,Talen Horton-Tucker,Talen,Horton-Tucker
1631216,Caleb Houstan,Caleb,Houstan
1641724,Jett Howard,Jett,Howard
1628989,Kevin Huerter,Kevin,Huerter
1630643,Jay Huff,Jay,Huff
1630574,Ariel Hukporti,Ariel,Hukporti
1629631,De'Andre Hunter,De'Andre,Hunter
1630538,Bones Hyland,Bones,Hyland
1642345,Oso Ighodaro,Oso,Ighodaro
204060,Joe Ingles,Joe,Ingles
1627742,Brandon Ingram,Brandon,Ingram
1631127,Harrison Ingram,Harrison,Ingram
202681,Kyrie Irving,Kyrie,Irving
1628371,Jonathan Isaac,Jonathan,Isaac
1631093,Jaden Ivey,Jaden,Ivey
1641713,GG Jackson,GG,Jackson
1630543,Isaiah Jackson,Isaiah,Jackson
1631245,Quenton Jackson,Quenton,Jackson
202704,Reggie Jackson,Reggie,Jackson
1641748,Andre Jackson Jr.,Andre,Jackson Jr.
1628991,Jaren Jackson Jr.,Jaren,Jackson Jr.
1631218,Trayce Jackson-Davis,Trayce,Jackson-Davis
1642355,Bronny James,Bronny,James
2544,LeBron James,LeBron,James
1631170,Jaime Jaquez Jr.,Jaime,Jaquez Jr.
1629610,DaQuan Jeffries,DaQuan,Jeffries
1641998,Trey Jemison III,Trey,Jemison III
1642450,Daniss Jenkins,Daniss,Jenkins
1629660,Ty Jerome,Ty,Jerome
1630198,Isaiah Joe,Isaiah,Joe
1642358,AJ Johnson,AJ,Johnson
1629661,Cameron Johnson,Cameron,Johnson
1630552,Jalen Johnson,Jalen,Johnson
201949,James Johnson,James,Johnson
1629640,Keldon Johnson,Keldon,Johnson
1630553,Keon Johnson,Keon,Johnson
1642352,Keshad Johnson,Keshad,Johnson
203999,Nikola Jokić,Nikola,Jokić
1641732,Colby Jones,Colby,Jones
1641794,Dillon Jones,Dillon,Jones
1630529,Herbert Jones,Herbert,Jones
1642403,Isaac Jones,Isaac,Jones
1630539,Kai Jones,Kai,Jones
1630222,Mason Jones,Mason,Jones
1642461,Spencer Jones,Spencer,Jones
1630200,Tre Jones,Tre,Jones
1626145,Tyus Jones,Tyus,Jones
1627884,Derrick Jones Jr.,Derrick,Jones Jr.
201599,DeAndre Jordan,DeAndre,Jordan
202709,Cory Joseph,Cory,Joseph
1631107,Nikola Jović,Nikola,Jović
1630548,Johnny Juzang,Johnny,Juzang
1642530,Yuki Kawamura,Yuki,Kawamura
1630283,Kylor Kelley,Kylor,Kelley
1628379,Luke Kennard,Luke,Kennard
1631117,Walker Kessler,Walker,Kessler
1630557,Corey Kispert,Corey,Kispert
1628467,Maxi Kleber,Maxi,Kleber
1641752,Bobi Klintman,Bobi,Klintman
1642261,Dalton Knecht,Dalton,Knecht
1642278,Tyler Kolek,Tyler,Kolek
1631132,Christian Koloko,Christian,Koloko
1629723,John Konchar,John,Konchar
1628436,Luke Kornet,Luke,Kornet
1630249,Vít Krejčí,Vít,Krejčí
1630228,Jonathan Kuminga,Jonathan,Kuminga
1628398,Kyle Kuzma,Kyle,Kuzma
1631222,Jake LaRavia,Jake,LaRavia
203897,Zach LaVine,Zach,LaVine
1629111,Jock Landale,Jock,Landale
1641796,Pelle Larsson,Pelle,Larsson
1630639,A.J. Lawson,A.J.,Lawson
1627747,Caris LeVert,Caris,LeVert
1627814,Damion Lee,Damion,Lee
203458,Alex Len,Alex,Len
202695,Kawhi Leonard,Kawhi,Leonard
1642502,Malevy Leons,Malevy,Leons
1641721,Maxwell Lewis,Maxwell,Lewis
1630604,E.J. Liddell,E.J.,Liddell
203081,Damian Lillard,Damian,Lillard
1641726,Dereck Lively II,Dereck,Lively II
1641753,Chris Livingston,Chris,Livingston
1626172,Kevon Looney,Kevon,Looney
201572,Brook Lopez,Brook,Lopez
201567,Kevin Love,Kevin,Love
200768,Kyle Lowry,Kyle,Lowry
1626168,Trey Lyles,Trey,Lyles
1630572,Sandro Mamukelashvili,Sandro,Mamukelashvili
1629611,Terance Mann,Terance,Mann
1630544,Tre Mann,Tre,Mann
1628374,Lauri Markkanen,Lauri,Markkanen
1630230,Naji Marshall,Naji,Marshall
1628997,Caleb Martin,Caleb,Martin
1628998,Cody Martin,Cody,Martin
1641798,Jaylen Martin,Jaylen,Martin
1630231,KJ Martin,KJ,Martin
1631213,Tyrese Martin,Tyrese,Martin
1629726,Garrison Mathews,Garrison,Mathews
1631097,Bennedict Mathurin,Bennedict,Mathurin
1631255,Karlo Matković,Karlo,Matković
1630178,Tyrese Maxey,Tyrese,Maxey
1630540,Miles McBride,Miles,McBride
1642272,Jared McCain,Jared,McCain
1630644,Mac McClung,Mac,McClung
203468,CJ McCollum,CJ,McCollum
204456,T.J. McConnell,T.J.,McConnell
1630183,Jaden McDaniels,Jaden,McDaniels
203926,Doug McDermott,Doug,McDermott
1631121,Bryce McGowens,Bryce,McGowens
1629162,Jordan McLaughlin,Jordan,McLaughlin
