game_id,team_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts
22400777,1610612740,2025-02-12,NOP vs. SAC,L,240,44,94,0.468,8,32,0.25,15,18,0.833,12,28,40,28,7,5,8,23,111
22400761,1610612740,2025-02-10,NOP @ OKC,L,240,36,82,0.439,10,27,0.37,19,28,0.679,12,30,42,19,4,4,22,14,101
22400750,1610612740,2025-02-08,NOP @ SAC,L,240,43,90,0.478,14,36,0.389,18,25,0.72,5,34,39,27,12,8,16,24,118
22400726,1610612740,2025-02-05,NOP @ DEN,L,240,43,93,0.462,10,29,0.345,23,26,0.885,10,28,38,26,5,3,11,10,119
22400706,1610612740,2025-02-03,NOP @ DEN,L,240,38,88,0.432,18,38,0.474,19,22,0.864,14,27,41,27,5,4,10,21,113
22400683,1610612740,2025-01-31,NOP vs. BOS,L,240,44,90,0.489,15,37,0.405,13,19,0.684,10,38,48,16,7,2,18,21,116
22400670,1610612740,2025-01-29,NOP vs. DAL,L,240,51,96,0.531,15,31,0.484,19,22,0.864,10,26,36,31,13,6,8,15,136
22400654,1610612740,2025-01-27,NOP @ TOR,L,240,39,89,0.438,6,28,0.214,20,30,0.667,6,40,46,21,9,11,12,16,104
22400637,1610612740,2025-01-25,NOP @ CHA,L,240,32,84,0.381,8,31,0.258,20,26,0.769,9,30,39,21,8,5,13,17,92
22400632,1610612740,2025-01-24,NOP @ MEM,L,240,45,83,0.542,14,34,0.412,22,32,0.688,8,27,35,30,6,3,12,10,126
22400605,1610612740,2025-01-20,NOP vs. UTA,W,265,41,92,0.446,15,41,0.366,26,29,0.897,6,39,45,28,12,8,13,24,123
22400581,1610612740,2025-01-17,NOP vs. UTA,W,240,47,100,0.47,22,50,0.44,20,31,0.645,21,35,56,34,9,8,13,24,136
22400566,1610612740,2025-01-15,NOP vs. DAL,W,240,43,97,0.443,13,39,0.333,20,24,0.833,15,34,49,24,11,8,10,20,119
22400557,1610612740,2025-01-14,NOP @ CHI,W,240,42,96,0.438,14,50,0.28,21,26,0.808,13,33,46,32,11,5,10,13,119
22400542,1610612740,2025-01-12,NOP @ BOS,L,240,40,86,0.465,17,37,0.459,22,26,0.846,6,36,42,24,8,3,9,19,119
22400527,1610612740,2025-01-10,NOP @ PHI,W,240,44,91,0.484,18,40,0.45,17,26,0.654,12,32,44,31,7,8,12,16,123
22400514,1610612740,2025-01-08,NOP vs. POR,L,240,40,90,0.444,12,37,0.324,8,11,0.727,18,23,41,19,11,3,17,15,100
22400505,1610612740,2025-01-07,NOP vs. MIN,L,240,35,94,0.372,12,41,0.293,15,24,0.625,13,33,46,23,12,5,14,18,97
22400489,1610612740,2025-01-05,NOP @ WAS,W,240,37,90,0.411,18,49,0.367,18,20,0.9,11,38,49,26,7,8,11,13,110
22400472,1610612740,2025-01-03,NOP vs. WAS,W,240,48,96,0.5,18,41,0.439,18,22,0.818,13,24,37,36,10,6,7,22,132
22400457,1610612740,2025-01-01,NOP @ MIA,L,240,40,80,0.5,9,34,0.265,19,22,0.864,5,26,31,25,4,7,10,15,108
22400444,1610612740,2024-12-30,NOP vs. LAC,L,240,42,82,0.512,18,37,0.486,11,14,0.786,6,29,35,30,13,5,16,22,113
22400423,1610612740,2024-12-27,NOP vs. MEM,L,240,43,96,0.448,11,38,0.289,27,29,0.931,12,33,45,30,13,10,17,25,124
22400416,1610612740,2024-12-26,NOP vs. HOU,L,240,43,99,0.434,12,37,0.324,13,18,0.722,17,27,44,29,12,2,13,16,111
22400390,1610612740,2024-12-22,NOP vs. DEN,L,265,50,108,0.463,12,40,0.3,17,23,0.739,9,34,43,37,16,9,13,23,129
22400384,1610612740,2024-12-21,NOP vs. NYK,L,240,34,83,0.41,12,34,0.353,13,19,0.684,16,29,45,23,8,5,19,20,93
22400365,1610612740,2024-12-19,NOP @ HOU,L,240,41,92,0.446,13,28,0.464,18,25,0.72,11,26,37,25,6,2,12,22,113
22401216,1610612740,2024-12-15,NOP @ IND,L,240,38,97,0.392,10,33,0.303,18,23,0.783,19,30,49,18,11,4,18,19,104
22401207,1610612740,2024-12-12,NOP vs. SAC,L,240,39,83,0.47,14,37,0.378,17,20,0.85,10,33,43,22,6,4,17,22,109
22400354,1610612740,2024-12-08,NOP @ SAS,L,240,43,99,0.434,13,38,0.342,17,21,0.81,13,30,43,26,9,8,8,21,116
22400342,1610612740,2024-12-07,NOP vs. OKC,L,240,38,79,0.481,11,37,0.297,22,27,0.815,8,27,35,25,15,6,18,20,109
22400330,1610612740,2024-12-05,NOP vs. PHX,W,240,47,95,0.495,14,36,0.389,18,25,0.72,12,32,44,23,13,4,13,24,126
22400315,1610612740,2024-12-02,NOP @ ATL,L,240,44,100,0.44,13,42,0.31,11,17,0.647,15,26,41,21,15,5,16,18,112
22400308,1610612740,2024-12-01,NOP @ NYK,L,240,35,94,0.372,4,27,0.148,11,17,0.647,13,29,42,20,14,9,14,19,85
22400042,1610612740,2024-11-29,NOP @ MEM,L,240,38,91,0.418,9,29,0.31,24,30,0.8,14,32,46,16,9,7,14,17,109
22400295,1610612740,2024-11-27,NOP vs. TOR,L,240,36,93,0.387,11,35,0.314,10,16,0.625,10,37,47,24,12,4,15,16,93
22400279,1610612740,2024-11-25,NOP @ IND,L,240,45,87,0.517,9,33,0.273,11,19,0.579,8,36,44,35,9,3,15,16,110
22400032,1610612740,2024-11-22,NOP vs. GSW,L,240,41,92,0.446,12,39,0.308,14,22,0.636,13,30,43,28,10,9,9,25,108
22400252,1610612740,2024-11-20,NOP @ CLE,L,240,39,92,0.424,8,31,0.258,14,22,0.636,16,24,40,23,9,3,11,11,100
22400024,1610612740,2024-11-19,NOP @ DAL,L,240,31,78,0.397,11,32,0.344,18,21,0.857,7,30,37,19,9,4,21,22,91
22400231,1610612740,2024-11-16,NOP vs. LAL,L,240,35,83,0.422,11,29,0.379,18,23,0.783,18,32,50,24,7,4,17,19,99
22400017,1610612740,2024-11-15,NOP vs. DEN,W,240,37,87,0.425,11,35,0.314,16,18,0.889,17,39,56,21,4,5,14,13,101
22400221,1610612740,2024-11-13,NOP @ OKC,L,240,34,86,0.395,9,37,0.243,11,17,0.647,21,37,58,21,3,4,23,15,88
