player_id,games_played,min_avg,fgm_avg,fga_avg,fg_pct,fg3m_avg,fg3a_avg,fg3_pct,ftm_avg,fta_avg,ft_pct,oreb_avg,dreb_avg,reb_avg,ast_avg,stl_avg,blk_avg,tov_avg,pf_avg,pts_avg,ast_tov_ratio,season
1631099,76,34.289,4.789,10.789,0.433,2.026,5.908,0.322,0.789,0.947,0.349,1.921,4.75,6.671,1.434,0.803,0.908,0.789,2.447,12.395,1.817,2024-25
1631101,72,31.222,6.931,15.333,0.446,2.042,6.556,0.308,2.639,3.361,0.659,0.944,3.556,4.5,2.75,0.861,0.222,2.083,1.667,18.542,1.32,2024-25
1631102,16,7.438,0.875,2.812,0.194,0.25,1.312,0.094,0.188,0.375,0.094,0.25,0.562,0.812,1.0,0.188,0.0,0.188,0.25,2.188,5.333,2024-25
1631103,47,9.128,1.851,4.043,0.372,0.723,1.787,0.311,0.574,0.702,0.234,0.149,0.936,1.085,0.809,0.234,0.043,0.723,0.617,5.0,1.118,2024-25
1631104,58,11.759,1.397,3.207,0.389,0.293,1.0,0.147,0.655,1.052,0.263,0.293,0.759,1.052,1.966,0.638,0.103,0.931,0.793,3.741,2.111,2024-25
1631105,78,26.115,4.846,7.0,0.685,0.0,0.0,0.0,2.077,3.103,0.564,3.551,6.795,10.346,2.679,0.692,1.141,1.744,3.218,11.769,1.537,2024-25
1631106,57,24.895,4.772,9.807,0.479,1.105,3.228,0.302,1.386,1.825,0.468,2.246,4.105,6.351,1.456,1.702,0.877,1.14,2.386,12.035,1.277,2024-25
1631107,46,25.217,3.739,8.196,0.451,1.696,4.565,0.344,1.565,1.891,0.522,0.565,3.348,3.913,2.848,0.826,0.283,1.304,1.783,10.739,2.183,2024-25
1631108,78,27.244,3.231,7.564,0.449,1.474,4.026,0.369,1.667,1.949,0.55,0.487,2.821,3.308,1.872,0.821,0.397,1.128,1.474,9.603,1.659,2024-25
1631109,44,26.568,6.136,10.159,0.603,0.0,0.091,0.0,2.977,3.705,0.671,3.0,7.159,10.159,2.477,0.727,1.227,1.614,2.386,15.25,1.535,2024-25
1631110,54,25.259,4.648,8.685,0.525,0.519,1.685,0.24,1.611,2.315,0.429,2.352,4.167,6.519,2.37,0.833,0.5,1.556,2.426,11.426,1.524,2024-25
1631111,36,13.944,1.639,3.5,0.371,0.389,1.139,0.225,0.5,0.611,0.211,0.833,1.806,2.639,1.167,0.556,0.139,0.75,0.861,4.167,1.556,2024-25
1631114,69,32.435,8.188,16.928,0.484,1.797,4.928,0.343,3.42,4.333,0.712,0.855,4.493,5.348,5.13,1.609,0.667,2.174,2.29,21.594,2.36,2024-25
1631115,44,17.523,2.636,5.932,0.424,0.386,1.182,0.214,1.227,1.591,0.435,2.023,2.977,5.0,1.75,0.386,0.364,1.114,2.273,6.886,1.571,2024-25
1631116,24,4.458,0.792,1.458,0.417,0.542,0.958,0.354,0.083,0.167,0.042,0.208,0.833,1.042,0.125,0.125,0.083,0.208,0.292,2.208,0.6,2024-25
1631117,58,30.052,4.793,7.224,0.694,0.103,0.586,0.042,1.362,2.621,0.379,4.586,7.603,12.19,1.672,0.621,2.379,1.483,2.241,11.052,1.128,2024-25
1631119,47,16.681,2.064,4.702,0.444,1.298,3.255,0.411,0.489,0.638,0.239,1.021,4.553,5.574,2.553,0.468,0.617,0.745,1.681,5.915,3.429,2024-25
1631120,16,5.875,0.75,2.125,0.335,0.25,1.125,0.177,0.312,0.438,0.125,0.125,0.688,0.812,0.812,0.312,0.062,0.812,0.125,2.062,1.0,2024-25
1631121,13,2.385,0.308,1.077,0.154,0.0,0.308,0.0,0.385,0.462,0.231,0.154,0.077,0.231,0.154,0.077,0.0,0.308,0.231,1.0,0.5,2024-25
1631124,65,21.308,3.231,7.477,0.408,1.446,4.138,0.304,1.138,1.385,0.45,0.262,1.923,2.185,1.277,0.6,0.246,0.877,2.323,9.046,1.456,2024-25
1631127,5,7.0,0.4,0.8,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.4,1.4,1.8,0.6,0.6,0.0,0.2,0.4,0.8,3.0,2024-25
1631128,79,33.873,6.025,10.392,0.581,1.127,2.835,0.343,2.241,2.709,0.662,1.241,3.949,5.19,2.595,1.076,0.468,1.025,2.152,15.418,2.531,2024-25
1631131,14,18.143,3.0,5.0,0.493,0.0,0.0,0.0,1.643,2.214,0.558,3.286,5.429,8.714,0.643,0.929,0.071,0.714,1.714,7.643,0.9,2024-25
1631132,37,9.27,1.081,1.784,0.46,0.0,0.108,0.0,0.27,0.378,0.135,0.946,1.541,2.486,0.432,0.216,0.432,0.324,1.189,2.432,1.333,2024-25
